id	node1	label	node2	node2;kgtk:data_type	node2;kgtk:number	node2;kgtk:low_tolerance	node2;kgtk:high_tolerance	node2;kgtk:units_node	node2;kgtk:date_and_time	node2;kgtk:precision	node2;kgtk:calendar	node2;kgtk:truth	node2;kgtk:symbol	node2;kgtk:latitude	node2;kgtk:longitude	node2;kgtk:globe	node2;kgtk:text	node2;kgtk:language
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11	BARO nr.Masha	P2225		quantity	25.315			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C11	P585		date_and_times					"2015-01-01T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12	BARO nr.Masha	P2225		quantity	25.315			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C12	P585		date_and_times					"2015-01-02T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13	BARO nr.Masha	P2225		quantity	25.315			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C13	P585		date_and_times					"2015-01-03T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14	BARO nr.Masha	P2225		quantity	24.388			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C14	P585		date_and_times					"2015-01-04T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15	BARO nr.Masha	P2225		quantity	24.388			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C15	P585		date_and_times					"2015-01-05T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16	BARO nr.Masha	P2225		quantity	24.388			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C16	P585		date_and_times					"2015-01-06T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17	BARO nr.Masha	P2225		quantity	23.472			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C17	P585		date_and_times					"2015-01-07T00:00:00"		Q1985727							
