id	node1	label	node2	node2;kgtk:data_type	node2;kgtk:number	node2;kgtk:low_tolerance	node2;kgtk:high_tolerance	node2;kgtk:units_node	node2;kgtk:date_and_time	node2;kgtk:precision	node2;kgtk:calendar	node2;kgtk:truth	node2;kgtk:symbol	node2;kgtk:latitude	node2;kgtk:longitude	node2;kgtk:globe	node2;kgtk:text	node2;kgtk:language
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18	BARO nr.Masha	P2225		quantity	22.567			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C18	P585		date_and_times					"2015-01-08T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19	BARO nr.Masha	P2225		quantity	19.926			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C19	P585		date_and_times					"2015-01-09T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20	BARO nr.Masha	P2225		quantity	19.926			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C20	P585		date_and_times					"2015-01-10T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21	BARO nr.Masha	P2225		quantity	18.226			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C21	P585		date_and_times					"2015-01-11T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22	BARO nr.Masha	P2225		quantity	18.226			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C22	P585		date_and_times					"2015-01-12T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23	BARO nr.Masha	P2225		quantity	16.577			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C23	P585		date_and_times					"2015-01-13T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24	BARO nr.Masha	P2225		quantity	16.577			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C24	P585		date_and_times					"2015-01-14T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25	BARO nr.Masha	P2225		quantity	16.577			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C25	P585		date_and_times					"2015-01-15T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26	BARO nr.Masha	P2225		quantity	16.577			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C26	P585		date_and_times					"2015-01-16T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27	BARO nr.Masha	P2225		quantity	16.577			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C27	P585		date_and_times					"2015-01-17T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28	BARO nr.Masha	P2225		quantity	15.773			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C28	P585		date_and_times					"2015-01-18T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29	BARO nr.Masha	P2225		quantity	15.773			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C29	P585		date_and_times					"2015-01-19T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30	BARO nr.Masha	P2225		quantity	15.773			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C30	P585		date_and_times					"2015-01-20T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31	BARO nr.Masha	P2225		quantity	14.981			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C31	P585		date_and_times					"2015-01-21T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32	BARO nr.Masha	P2225		quantity	14.981			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C32	P585		date_and_times					"2015-01-22T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33	BARO nr.Masha	P2225		quantity	14.981			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C33	P585		date_and_times					"2015-01-23T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34	BARO nr.Masha	P2225		quantity	14.981			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C34	P585		date_and_times					"2015-01-24T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35	BARO nr.Masha	P2225		quantity	14.981			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C35	P585		date_and_times					"2015-01-25T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36	BARO nr.Masha	P2225		quantity	14.203			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C36	P585		date_and_times					"2015-01-26T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37	BARO nr.Masha	P2225		quantity	13.439			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C37	P585		date_and_times					"2015-01-27T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38	BARO nr.Masha	P2225		quantity	13.439			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C38	P585		date_and_times					"2015-01-28T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39	BARO nr.Masha	P2225		quantity	13.439			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C39	P585		date_and_times					"2015-01-29T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40	BARO nr.Masha	P2225		quantity	13.439			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C40	P585		date_and_times					"2015-01-30T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41	BARO nr.Masha	P2225		quantity	13.439			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C41	P585		date_and_times					"2015-01-31T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54	BARO nr.Masha	P2225		quantity	55.484			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C54	P585		date_and_times					"2016-01-01T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55	BARO nr.Masha	P2225		quantity	54.279			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C55	P585		date_and_times					"2016-01-02T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56	BARO nr.Masha	P2225		quantity	54.279			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C56	P585		date_and_times					"2016-01-03T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57	BARO nr.Masha	P2225		quantity	53.082			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C57	P585		date_and_times					"2016-01-04T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58	BARO nr.Masha	P2225		quantity	50.716			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58	P2046		quantity	1653.0			Q712226										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58-P625-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58	P625		location_coordinates										7:52:0N	35:29:0E	wgs84		
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58-P585-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C58	P585		date_and_times					"2016-01-05T00:00:00"		Q1985727							
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C59	BARO nr.Masha	P2225		quantity	50.716			Q794261										
Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C59-P2046-0000	Ethiopia_Daily_Data_Multiple_Stations.xlsx.Baro;C59	P2046		quantity	1653.0			Q712226										
