date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,0.843,47.5,7:19:0N,36:2:0E
2015-01-02,0.843,47.5,7:19:0N,36:2:0E
2015-01-03,0.804,47.5,7:19:0N,36:2:0E
2015-01-04,0.7659999999999999,47.5,7:19:0N,36:2:0E
2015-01-05,0.7290000000000001,47.5,7:19:0N,36:2:0E
2015-01-06,0.7290000000000001,47.5,7:19:0N,36:2:0E
2015-01-07,0.7290000000000001,47.5,7:19:0N,36:2:0E
2015-01-08,0.693,47.5,7:19:0N,36:2:0E
2015-01-09,0.659,47.5,7:19:0N,36:2:0E
2015-01-10,0.659,47.5,7:19:0N,36:2:0E
2015-01-11,0.659,47.5,7:19:0N,36:2:0E
2015-01-12,0.659,47.5,7:19:0N,36:2:0E
2015-01-13,0.659,47.5,7:19:0N,36:2:0E
2015-01-14,0.659,47.5,7:19:0N,36:2:0E
2015-01-15,0.693,47.5,7:19:0N,36:2:0E
2015-01-16,0.659,47.5,7:19:0N,36:2:0E
2015-01-17,0.659,47.5,7:19:0N,36:2:0E
2015-01-18,0.593,47.5,7:19:0N,36:2:0E
2015-01-19,0.593,47.5,7:19:0N,36:2:0E
2015-01-20,0.593,47.5,7:19:0N,36:2:0E
2015-01-21,0.593,47.5,7:19:0N,36:2:0E
2015-01-22,0.593,47.5,7:19:0N,36:2:0E
2015-01-23,0.561,47.5,7:19:0N,36:2:0E
2015-01-24,0.561,47.5,7:19:0N,36:2:0E
2015-01-25,0.593,47.5,7:19:0N,36:2:0E
2015-01-26,0.593,47.5,7:19:0N,36:2:0E
2015-01-27,0.561,47.5,7:19:0N,36:2:0E
2015-01-28,0.561,47.5,7:19:0N,36:2:0E
2015-01-29,0.561,47.5,7:19:0N,36:2:0E
2015-01-30,0.561,47.5,7:19:0N,36:2:0E
2015-01-31,0.531,47.5,7:19:0N,36:2:0E
2015-02-01,0.531,47.5,7:19:0N,36:2:0E
2015-02-02,0.531,47.5,7:19:0N,36:2:0E
2015-02-03,0.531,47.5,7:19:0N,36:2:0E
2015-02-04,0.502,47.5,7:19:0N,36:2:0E
2015-02-05,0.502,47.5,7:19:0N,36:2:0E
2015-02-06,0.502,47.5,7:19:0N,36:2:0E
2015-02-07,0.474,47.5,7:19:0N,36:2:0E
2015-02-08,0.502,47.5,7:19:0N,36:2:0E
2015-02-09,0.502,47.5,7:19:0N,36:2:0E
2015-02-10,0.502,47.5,7:19:0N,36:2:0E
2015-02-11,0.502,47.5,7:19:0N,36:2:0E
2015-02-12,0.502,47.5,7:19:0N,36:2:0E
2015-02-13,0.502,47.5,7:19:0N,36:2:0E
2015-02-14,0.502,47.5,7:19:0N,36:2:0E
2015-02-15,0.474,47.5,7:19:0N,36:2:0E
2015-02-16,0.474,47.5,7:19:0N,36:2:0E
2015-02-17,0.502,47.5,7:19:0N,36:2:0E
2015-02-18,0.502,47.5,7:19:0N,36:2:0E
2015-02-19,0.502,47.5,7:19:0N,36:2:0E
2015-02-20,0.531,47.5,7:19:0N,36:2:0E
2015-02-21,0.531,47.5,7:19:0N,36:2:0E
2015-02-22,0.531,47.5,7:19:0N,36:2:0E
2015-02-23,0.593,47.5,7:19:0N,36:2:0E
2015-02-24,0.561,47.5,7:19:0N,36:2:0E
2015-02-25,0.593,47.5,7:19:0N,36:2:0E
2015-02-26,0.593,47.5,7:19:0N,36:2:0E
2015-02-27,0.593,47.5,7:19:0N,36:2:0E
2015-02-28,0.531,47.5,7:19:0N,36:2:0E
2015-03-01,0.531,47.5,7:19:0N,36:2:0E
2015-03-02,0.593,47.5,7:19:0N,36:2:0E
2015-03-03,0.561,47.5,7:19:0N,36:2:0E
2015-03-04,0.531,47.5,7:19:0N,36:2:0E
2015-03-05,0.531,47.5,7:19:0N,36:2:0E
2015-03-06,0.531,47.5,7:19:0N,36:2:0E
2015-03-07,0.531,47.5,7:19:0N,36:2:0E
2015-03-08,0.531,47.5,7:19:0N,36:2:0E
2015-03-09,0.531,47.5,7:19:0N,36:2:0E
2015-03-10,0.474,47.5,7:19:0N,36:2:0E
2015-03-11,0.474,47.5,7:19:0N,36:2:0E
2015-03-12,0.474,47.5,7:19:0N,36:2:0E
2015-03-13,0.474,47.5,7:19:0N,36:2:0E
2015-03-14,0.474,47.5,7:19:0N,36:2:0E
2015-03-15,0.474,47.5,7:19:0N,36:2:0E
2015-03-16,0.474,47.5,7:19:0N,36:2:0E
2015-03-17,0.447,47.5,7:19:0N,36:2:0E
2015-03-18,0.447,47.5,7:19:0N,36:2:0E
2015-03-19,0.593,47.5,7:19:0N,36:2:0E
2015-03-20,0.531,47.5,7:19:0N,36:2:0E
2015-03-21,0.531,47.5,7:19:0N,36:2:0E
2015-03-22,0.502,47.5,7:19:0N,36:2:0E
2015-03-23,0.593,47.5,7:19:0N,36:2:0E
2015-03-24,0.625,47.5,7:19:0N,36:2:0E
2015-03-25,0.659,47.5,7:19:0N,36:2:0E
2015-03-26,0.659,47.5,7:19:0N,36:2:0E
2015-03-27,0.659,47.5,7:19:0N,36:2:0E
2015-03-28,0.659,47.5,7:19:0N,36:2:0E
2015-03-29,0.7659999999999999,47.5,7:19:0N,36:2:0E
2015-03-30,0.7659999999999999,47.5,7:19:0N,36:2:0E
2015-03-31,0.7290000000000001,47.5,7:19:0N,36:2:0E
2015-04-01,0.7659999999999999,47.5,7:19:0N,36:2:0E
2015-04-02,0.7659999999999999,47.5,7:19:0N,36:2:0E
2015-04-03,0.804,47.5,7:19:0N,36:2:0E
2015-04-04,0.804,47.5,7:19:0N,36:2:0E
2015-04-05,0.804,47.5,7:19:0N,36:2:0E
2015-04-06,0.804,47.5,7:19:0N,36:2:0E
2015-04-07,0.804,47.5,7:19:0N,36:2:0E
2015-04-08,1.012,47.5,7:19:0N,36:2:0E
2015-04-09,1.965,47.5,7:19:0N,36:2:0E
2015-04-10,2.104,47.5,7:19:0N,36:2:0E
2015-04-11,1.8319999999999999,47.5,7:19:0N,36:2:0E
2015-04-12,1.5830000000000002,47.5,7:19:0N,36:2:0E
2015-04-13,1.5830000000000002,47.5,7:19:0N,36:2:0E
2015-04-14,1.5830000000000002,47.5,7:19:0N,36:2:0E
2015-04-15,5.23,47.5,7:19:0N,36:2:0E
2015-04-16,4.739,47.5,7:19:0N,36:2:0E
2015-04-17,4.06,47.5,7:19:0N,36:2:0E
