date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,0.505,526.0,7:34:0N,37:5:0E
2015-01-02,0.505,526.0,7:34:0N,37:5:0E
2015-01-03,0.505,526.0,7:34:0N,37:5:0E
2015-01-04,0.505,526.0,7:34:0N,37:5:0E
2015-01-05,0.474,526.0,7:34:0N,37:5:0E
2015-01-06,0.444,526.0,7:34:0N,37:5:0E
2015-01-07,0.444,526.0,7:34:0N,37:5:0E
2015-01-08,0.444,526.0,7:34:0N,37:5:0E
2015-01-09,0.415,526.0,7:34:0N,37:5:0E
2015-01-10,0.386,526.0,7:34:0N,37:5:0E
2015-01-11,0.386,526.0,7:34:0N,37:5:0E
2015-01-12,0.386,526.0,7:34:0N,37:5:0E
2015-01-13,0.358,526.0,7:34:0N,37:5:0E
2015-01-14,0.358,526.0,7:34:0N,37:5:0E
2015-01-15,0.331,526.0,7:34:0N,37:5:0E
2015-01-16,0.331,526.0,7:34:0N,37:5:0E
2015-01-17,0.331,526.0,7:34:0N,37:5:0E
2015-01-18,0.305,526.0,7:34:0N,37:5:0E
2015-01-19,0.305,526.0,7:34:0N,37:5:0E
2015-01-20,0.27899999999999997,526.0,7:34:0N,37:5:0E
2015-01-21,0.27899999999999997,526.0,7:34:0N,37:5:0E
2015-01-22,0.255,526.0,7:34:0N,37:5:0E
2015-01-23,0.255,526.0,7:34:0N,37:5:0E
2015-01-24,0.255,526.0,7:34:0N,37:5:0E
2015-01-25,0.231,526.0,7:34:0N,37:5:0E
2015-01-26,0.231,526.0,7:34:0N,37:5:0E
2015-01-27,0.20800000000000002,526.0,7:34:0N,37:5:0E
2015-01-28,0.18600000000000003,526.0,7:34:0N,37:5:0E
2015-01-29,0.18600000000000003,526.0,7:34:0N,37:5:0E
2015-01-30,0.145,526.0,7:34:0N,37:5:0E
2015-01-31,0.145,526.0,7:34:0N,37:5:0E
2015-02-01,0.145,526.0,7:34:0N,37:5:0E
2015-02-02,0.126,526.0,7:34:0N,37:5:0E
2015-02-03,0.107,526.0,7:34:0N,37:5:0E
2015-02-04,0.107,526.0,7:34:0N,37:5:0E
2015-02-05,0.09,526.0,7:34:0N,37:5:0E
2015-02-06,0.09,526.0,7:34:0N,37:5:0E
2015-02-07,0.07400000000000001,526.0,7:34:0N,37:5:0E
2015-02-08,0.07400000000000001,526.0,7:34:0N,37:5:0E
2015-02-09,0.07400000000000001,526.0,7:34:0N,37:5:0E
2015-02-10,0.06,526.0,7:34:0N,37:5:0E
2015-02-11,0.046,526.0,7:34:0N,37:5:0E
2015-02-12,0.046,526.0,7:34:0N,37:5:0E
2015-02-13,0.046,526.0,7:34:0N,37:5:0E
2015-02-14,0.034,526.0,7:34:0N,37:5:0E
2015-02-15,0.034,526.0,7:34:0N,37:5:0E
2015-02-16,0.023,526.0,7:34:0N,37:5:0E
2015-02-17,0.013999999999999999,526.0,7:34:0N,37:5:0E
2015-02-18,0.046,526.0,7:34:0N,37:5:0E
2015-02-19,0.023,526.0,7:34:0N,37:5:0E
2015-02-20,0.023,526.0,7:34:0N,37:5:0E
2015-02-21,0.006999999999999999,526.0,7:34:0N,37:5:0E
2015-02-22,0.006999999999999999,526.0,7:34:0N,37:5:0E
2015-02-23,0.023,526.0,7:34:0N,37:5:0E
2015-02-24,0.034,526.0,7:34:0N,37:5:0E
2015-02-25,0.023,526.0,7:34:0N,37:5:0E
2015-02-26,0.023,526.0,7:34:0N,37:5:0E
2015-02-27,0.013999999999999999,526.0,7:34:0N,37:5:0E
2015-02-28,0.006999999999999999,526.0,7:34:0N,37:5:0E
2015-03-01,0.006999999999999999,526.0,7:34:0N,37:5:0E
2015-03-02,0.002,526.0,7:34:0N,37:5:0E
2015-03-03,0.002,526.0,7:34:0N,37:5:0E
2015-03-04,0.0,526.0,7:34:0N,37:5:0E
2015-03-05,0.0,526.0,7:34:0N,37:5:0E
2015-03-06,0.0,526.0,7:34:0N,37:5:0E
2015-03-07,0.0,526.0,7:34:0N,37:5:0E
2015-03-08,0.0,526.0,7:34:0N,37:5:0E
2015-03-09,0.0,526.0,7:34:0N,37:5:0E
2015-03-10,0.0,526.0,7:34:0N,37:5:0E
2015-03-11,0.0,526.0,7:34:0N,37:5:0E
2015-03-12,0.0,526.0,7:34:0N,37:5:0E
2015-03-13,0.0,526.0,7:34:0N,37:5:0E
2015-03-14,0.0,526.0,7:34:0N,37:5:0E
2015-03-15,0.0,526.0,7:34:0N,37:5:0E
2015-03-16,0.0,526.0,7:34:0N,37:5:0E
2015-03-17,0.0,526.0,7:34:0N,37:5:0E
2015-03-18,0.0,526.0,7:34:0N,37:5:0E
2015-03-19,0.0,526.0,7:34:0N,37:5:0E
2015-03-20,0.0,526.0,7:34:0N,37:5:0E
2015-03-21,0.0,526.0,7:34:0N,37:5:0E
2015-03-22,0.07400000000000001,526.0,7:34:0N,37:5:0E
2015-03-23,0.505,526.0,7:34:0N,37:5:0E
2015-03-24,0.8140000000000001,526.0,7:34:0N,37:5:0E
2015-03-25,0.777,526.0,7:34:0N,37:5:0E
2015-03-26,0.705,526.0,7:34:0N,37:5:0E
2015-03-27,0.635,526.0,7:34:0N,37:5:0E
2015-03-28,0.505,526.0,7:34:0N,37:5:0E
2015-03-29,0.505,526.0,7:34:0N,37:5:0E
2015-03-30,0.444,526.0,7:34:0N,37:5:0E
2015-03-31,0.444,526.0,7:34:0N,37:5:0E
2015-04-01,0.386,526.0,7:34:0N,37:5:0E
2015-04-02,0.331,526.0,7:34:0N,37:5:0E
2015-04-03,0.444,526.0,7:34:0N,37:5:0E
2015-04-04,0.386,526.0,7:34:0N,37:5:0E
2015-04-05,0.331,526.0,7:34:0N,37:5:0E
2015-04-06,0.331,526.0,7:34:0N,37:5:0E
2015-04-07,0.415,526.0,7:34:0N,37:5:0E
2015-04-08,0.444,526.0,7:34:0N,37:5:0E
2015-04-09,0.386,526.0,7:34:0N,37:5:0E
2015-04-10,0.444,526.0,7:34:0N,37:5:0E
2015-04-11,0.444,526.0,7:34:0N,37:5:0E
2015-04-12,0.386,526.0,7:34:0N,37:5:0E
2015-04-13,0.505,526.0,7:34:0N,37:5:0E
2015-04-14,0.851,526.0,7:34:0N,37:5:0E
2015-04-15,1.1740000000000002,526.0,7:34:0N,37:5:0E
2015-04-16,1.486,526.0,7:34:0N,37:5:0E
2015-04-17,1.775,526.0,7:34:0N,37:5:0E
2015-04-18,1.58,526.0,7:34:0N,37:5:0E
2015-04-19,1.44,526.0,7:34:0N,37:5:0E
2015-04-20,1.349,526.0,7:34:0N,37:5:0E
2015-04-21,1.26,526.0,7:34:0N,37:5:0E
