date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,7.792999999999999,287.5,9:10:0N,35:33:0E
2015-01-02,7.792999999999999,287.5,9:10:0N,35:33:0E
2015-01-03,7.702000000000001,287.5,9:10:0N,35:33:0E
2015-01-04,7.702000000000001,287.5,9:10:0N,35:33:0E
2015-01-05,7.612,287.5,9:10:0N,35:33:0E
2015-01-06,7.612,287.5,9:10:0N,35:33:0E
2015-01-07,7.521,287.5,9:10:0N,35:33:0E
2015-01-08,7.521,287.5,9:10:0N,35:33:0E
2015-01-09,7.432,287.5,9:10:0N,35:33:0E
2015-01-10,7.432,287.5,9:10:0N,35:33:0E
2015-01-11,7.3420000000000005,287.5,9:10:0N,35:33:0E
2015-01-12,7.3420000000000005,287.5,9:10:0N,35:33:0E
2015-01-13,7.252000000000001,287.5,9:10:0N,35:33:0E
2015-01-14,7.252000000000001,287.5,9:10:0N,35:33:0E
2015-01-15,7.252000000000001,287.5,9:10:0N,35:33:0E
2015-01-16,7.162999999999999,287.5,9:10:0N,35:33:0E
2015-01-17,7.162999999999999,287.5,9:10:0N,35:33:0E
2015-01-18,7.162999999999999,287.5,9:10:0N,35:33:0E
2015-01-19,7.074,287.5,9:10:0N,35:33:0E
2015-01-20,6.986000000000001,287.5,9:10:0N,35:33:0E
2015-01-21,6.986000000000001,287.5,9:10:0N,35:33:0E
2015-01-22,6.897,287.5,9:10:0N,35:33:0E
2015-01-23,6.897,287.5,9:10:0N,35:33:0E
2015-01-24,6.809,287.5,9:10:0N,35:33:0E
2015-01-25,6.809,287.5,9:10:0N,35:33:0E
2015-01-26,6.721,287.5,9:10:0N,35:33:0E
2015-01-27,6.721,287.5,9:10:0N,35:33:0E
2015-01-28,6.6339999999999995,287.5,9:10:0N,35:33:0E
2015-01-29,6.6339999999999995,287.5,9:10:0N,35:33:0E
2015-01-30,6.547000000000001,287.5,9:10:0N,35:33:0E
2015-01-31,6.459,287.5,9:10:0N,35:33:0E
2016-01-01,6.897,287.5,9:10:0N,35:33:0E
2016-01-02,6.809,287.5,9:10:0N,35:33:0E
2016-01-03,6.809,287.5,9:10:0N,35:33:0E
2016-01-04,6.721,287.5,9:10:0N,35:33:0E
2016-01-05,6.721,287.5,9:10:0N,35:33:0E
2016-01-06,6.6339999999999995,287.5,9:10:0N,35:33:0E
2016-01-07,6.6339999999999995,287.5,9:10:0N,35:33:0E
2016-01-08,6.547000000000001,287.5,9:10:0N,35:33:0E
2016-01-09,6.547000000000001,287.5,9:10:0N,35:33:0E
2016-01-10,6.547000000000001,287.5,9:10:0N,35:33:0E
2016-01-11,6.459,287.5,9:10:0N,35:33:0E
2016-01-12,5.436,287.5,9:10:0N,35:33:0E
2016-01-13,5.27,287.5,9:10:0N,35:33:0E
2016-01-14,5.187,287.5,9:10:0N,35:33:0E
2016-01-15,5.105,287.5,9:10:0N,35:33:0E
2016-01-16,5.023,287.5,9:10:0N,35:33:0E
2016-01-17,4.941,287.5,9:10:0N,35:33:0E
2016-01-18,4.7780000000000005,287.5,9:10:0N,35:33:0E
2016-01-19,4.377,287.5,9:10:0N,35:33:0E
2016-01-20,3.8289999999999997,287.5,9:10:0N,35:33:0E
2016-01-21,3.752,287.5,9:10:0N,35:33:0E
2016-01-22,3.523,287.5,9:10:0N,35:33:0E
2016-01-23,3.373,287.5,9:10:0N,35:33:0E
2016-01-24,3.2239999999999998,287.5,9:10:0N,35:33:0E
2016-01-25,3.077,287.5,9:10:0N,35:33:0E
2016-01-26,2.931,287.5,9:10:0N,35:33:0E
2016-01-27,2.931,287.5,9:10:0N,35:33:0E
2016-01-28,2.787,287.5,9:10:0N,35:33:0E
2016-01-29,2.787,287.5,9:10:0N,35:33:0E
2016-01-30,2.716,287.5,9:10:0N,35:33:0E
2016-01-31,2.645,287.5,9:10:0N,35:33:0E
2017-01-01,2.296,287.5,9:10:0N,35:33:0E
2017-01-02,2.296,287.5,9:10:0N,35:33:0E
2017-01-03,2.228,287.5,9:10:0N,35:33:0E
2017-01-04,2.228,287.5,9:10:0N,35:33:0E
2017-01-05,2.228,287.5,9:10:0N,35:33:0E
2017-01-06,2.16,287.5,9:10:0N,35:33:0E
2017-01-07,2.16,287.5,9:10:0N,35:33:0E
2017-01-08,2.16,287.5,9:10:0N,35:33:0E
2017-01-09,2.093,287.5,9:10:0N,35:33:0E
2017-01-10,2.093,287.5,9:10:0N,35:33:0E
2017-01-11,2.093,287.5,9:10:0N,35:33:0E
2017-01-12,2.026,287.5,9:10:0N,35:33:0E
2017-01-13,2.026,287.5,9:10:0N,35:33:0E
2017-01-14,2.026,287.5,9:10:0N,35:33:0E
2017-01-15,1.96,287.5,9:10:0N,35:33:0E
2017-01-16,1.96,287.5,9:10:0N,35:33:0E
2017-01-17,1.96,287.5,9:10:0N,35:33:0E
2017-01-18,1.96,287.5,9:10:0N,35:33:0E
