date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,0.718,190.6,7:17:0N,36:14:0E
2015-01-02,0.718,190.6,7:17:0N,36:14:0E
2015-01-03,0.718,190.6,7:17:0N,36:14:0E
2015-01-04,0.718,190.6,7:17:0N,36:14:0E
2015-01-05,0.718,190.6,7:17:0N,36:14:0E
2015-01-06,0.718,190.6,7:17:0N,36:14:0E
2015-01-07,0.718,190.6,7:17:0N,36:14:0E
2015-01-08,0.718,190.6,7:17:0N,36:14:0E
2015-01-09,0.659,190.6,7:17:0N,36:14:0E
2015-01-10,0.659,190.6,7:17:0N,36:14:0E
2015-01-11,0.659,190.6,7:17:0N,36:14:0E
2015-01-12,0.659,190.6,7:17:0N,36:14:0E
2015-01-13,0.601,190.6,7:17:0N,36:14:0E
2015-01-14,0.601,190.6,7:17:0N,36:14:0E
2015-01-15,0.601,190.6,7:17:0N,36:14:0E
2015-01-16,0.601,190.6,7:17:0N,36:14:0E
2015-01-17,0.601,190.6,7:17:0N,36:14:0E
2015-01-18,0.601,190.6,7:17:0N,36:14:0E
2015-01-19,0.601,190.6,7:17:0N,36:14:0E
2015-01-20,0.545,190.6,7:17:0N,36:14:0E
2015-01-21,0.545,190.6,7:17:0N,36:14:0E
2015-01-22,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-23,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-24,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-25,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-26,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-27,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-28,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-29,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-30,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-01-31,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-02-01,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-02-02,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-02-03,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-02-04,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-02-05,0.43700000000000006,190.6,7:17:0N,36:14:0E
2015-02-06,0.386,190.6,7:17:0N,36:14:0E
2015-02-07,0.386,190.6,7:17:0N,36:14:0E
2015-02-08,0.386,190.6,7:17:0N,36:14:0E
2015-02-09,0.386,190.6,7:17:0N,36:14:0E
2015-02-10,0.386,190.6,7:17:0N,36:14:0E
2015-02-11,0.386,190.6,7:17:0N,36:14:0E
2015-02-12,0.386,190.6,7:17:0N,36:14:0E
2015-02-13,0.386,190.6,7:17:0N,36:14:0E
2015-02-14,0.386,190.6,7:17:0N,36:14:0E
2015-02-15,0.545,190.6,7:17:0N,36:14:0E
2015-02-16,0.778,190.6,7:17:0N,36:14:0E
2015-02-17,0.718,190.6,7:17:0N,36:14:0E
2015-02-18,0.902,190.6,7:17:0N,36:14:0E
2015-02-19,1.165,190.6,7:17:0N,36:14:0E
2015-02-20,1.031,190.6,7:17:0N,36:14:0E
2015-02-21,1.031,190.6,7:17:0N,36:14:0E
2015-02-22,1.031,190.6,7:17:0N,36:14:0E
2015-02-23,1.031,190.6,7:17:0N,36:14:0E
2015-02-24,0.778,190.6,7:17:0N,36:14:0E
2015-02-25,0.659,190.6,7:17:0N,36:14:0E
2015-02-26,0.49,190.6,7:17:0N,36:14:0E
2015-02-27,0.386,190.6,7:17:0N,36:14:0E
2015-02-28,0.336,190.6,7:17:0N,36:14:0E
2015-03-01,0.336,190.6,7:17:0N,36:14:0E
2015-03-02,0.28800000000000003,190.6,7:17:0N,36:14:0E
2015-03-03,0.336,190.6,7:17:0N,36:14:0E
2015-03-04,0.28800000000000003,190.6,7:17:0N,36:14:0E
2015-03-05,0.28800000000000003,190.6,7:17:0N,36:14:0E
2015-03-06,0.242,190.6,7:17:0N,36:14:0E
2015-03-07,0.242,190.6,7:17:0N,36:14:0E
2015-03-08,0.242,190.6,7:17:0N,36:14:0E
