date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,9.497,1622.0,8:19:0N,35:36:0E
2015-01-02,10.414000000000001,1622.0,8:19:0N,35:36:0E
2015-01-03,10.414000000000001,1622.0,8:19:0N,35:36:0E
2015-01-04,9.05,1622.0,8:19:0N,35:36:0E
2015-01-05,8.179,1622.0,8:19:0N,35:36:0E
2015-01-06,6.93,1622.0,8:19:0N,35:36:0E
2015-01-07,6.53,1622.0,8:19:0N,35:36:0E
2015-01-08,6.138,1622.0,8:19:0N,35:36:0E
2015-01-09,6.53,1622.0,8:19:0N,35:36:0E
2015-01-10,6.138,1622.0,8:19:0N,35:36:0E
2015-01-11,6.93,1622.0,8:19:0N,35:36:0E
2015-01-12,6.138,1622.0,8:19:0N,35:36:0E
2015-01-13,5.38,1622.0,8:19:0N,35:36:0E
2015-01-14,5.38,1622.0,8:19:0N,35:36:0E
2015-01-15,5.38,1622.0,8:19:0N,35:36:0E
2015-01-16,4.657,1622.0,8:19:0N,35:36:0E
2015-01-17,5.38,1622.0,8:19:0N,35:36:0E
2015-01-18,5.38,1622.0,8:19:0N,35:36:0E
2015-01-19,4.31,1622.0,8:19:0N,35:36:0E
2015-01-20,4.657,1622.0,8:19:0N,35:36:0E
2015-01-21,4.657,1622.0,8:19:0N,35:36:0E
2015-01-22,4.657,1622.0,8:19:0N,35:36:0E
2015-01-23,4.657,1622.0,8:19:0N,35:36:0E
2015-01-24,4.657,1622.0,8:19:0N,35:36:0E
2015-01-25,3.972,1622.0,8:19:0N,35:36:0E
2015-01-26,4.657,1622.0,8:19:0N,35:36:0E
2015-01-27,3.972,1622.0,8:19:0N,35:36:0E
2015-01-28,3.972,1622.0,8:19:0N,35:36:0E
2015-01-29,3.972,1622.0,8:19:0N,35:36:0E
2015-01-30,3.6430000000000002,1622.0,8:19:0N,35:36:0E
2015-01-31,3.325,1622.0,8:19:0N,35:36:0E
2015-02-01,3.017,1622.0,8:19:0N,35:36:0E
2015-02-02,3.017,1622.0,8:19:0N,35:36:0E
2015-02-03,2.719,1622.0,8:19:0N,35:36:0E
2015-02-04,3.325,1622.0,8:19:0N,35:36:0E
2015-02-05,2.719,1622.0,8:19:0N,35:36:0E
2015-02-06,3.017,1622.0,8:19:0N,35:36:0E
2015-02-07,2.432,1622.0,8:19:0N,35:36:0E
2015-04-20,3.972,1622.0,8:19:0N,35:36:0E
2015-04-21,3.972,1622.0,8:19:0N,35:36:0E
2015-04-22,6.138,1622.0,8:19:0N,35:36:0E
2015-04-23,10.414000000000001,1622.0,8:19:0N,35:36:0E
2015-04-24,15.414000000000001,1622.0,8:19:0N,35:36:0E
2015-04-25,19.879,1622.0,8:19:0N,35:36:0E
2015-04-26,24.723000000000003,1622.0,8:19:0N,35:36:0E
2015-04-27,26.631999999999998,1622.0,8:19:0N,35:36:0E
