date,discharge(cumecs),area(sq km),latitude,longitude
2015-01-01,14.28,443.8,7:12:0N,36:17:0E
2015-01-02,13.872,443.8,7:12:0N,36:17:0E
2015-01-03,13.469000000000001,443.8,7:12:0N,36:17:0E
2015-01-04,12.876,443.8,7:12:0N,36:17:0E
2015-01-05,12.104000000000001,443.8,7:12:0N,36:17:0E
2015-01-06,11.354000000000001,443.8,7:12:0N,36:17:0E
2015-01-07,11.17,443.8,7:12:0N,36:17:0E
2015-01-08,10.987,443.8,7:12:0N,36:17:0E
2015-01-09,10.805,443.8,7:12:0N,36:17:0E
2015-01-10,10.805,443.8,7:12:0N,36:17:0E
2015-01-11,10.447000000000001,443.8,7:12:0N,36:17:0E
2015-01-12,10.447000000000001,443.8,7:12:0N,36:17:0E
2015-01-13,10.094,443.8,7:12:0N,36:17:0E
2015-01-14,10.094,443.8,7:12:0N,36:17:0E
2015-01-15,9.92,443.8,7:12:0N,36:17:0E
2015-01-16,9.92,443.8,7:12:0N,36:17:0E
2015-01-17,9.747,443.8,7:12:0N,36:17:0E
2015-01-18,9.405,443.8,7:12:0N,36:17:0E
2015-01-19,9.405,443.8,7:12:0N,36:17:0E
2015-01-20,9.068999999999999,443.8,7:12:0N,36:17:0E
2015-01-21,9.068999999999999,443.8,7:12:0N,36:17:0E
2015-01-22,8.738,443.8,7:12:0N,36:17:0E
2015-01-23,8.413,443.8,7:12:0N,36:17:0E
2015-01-24,8.253,443.8,7:12:0N,36:17:0E
2015-01-25,8.094,443.8,7:12:0N,36:17:0E
2015-01-26,8.413,443.8,7:12:0N,36:17:0E
2015-01-27,8.738,443.8,7:12:0N,36:17:0E
2015-01-28,8.575,443.8,7:12:0N,36:17:0E
2015-01-29,8.413,443.8,7:12:0N,36:17:0E
2015-01-30,8.413,443.8,7:12:0N,36:17:0E
2015-01-31,8.253,443.8,7:12:0N,36:17:0E
2016-01-01,9.405,443.8,7:12:0N,36:17:0E
2016-01-02,9.747,443.8,7:12:0N,36:17:0E
2016-01-03,7.473,443.8,7:12:0N,36:17:0E
2016-01-04,7.021,443.8,7:12:0N,36:17:0E
2016-01-05,5.478,443.8,7:12:0N,36:17:0E
2016-01-06,5.2170000000000005,443.8,7:12:0N,36:17:0E
2016-01-07,5.347,443.8,7:12:0N,36:17:0E
2016-01-08,5.2170000000000005,443.8,7:12:0N,36:17:0E
2016-01-09,5.2170000000000005,443.8,7:12:0N,36:17:0E
2016-01-10,4.835,443.8,7:12:0N,36:17:0E
2016-01-11,4.467,443.8,7:12:0N,36:17:0E
2016-01-12,4.229,443.8,7:12:0N,36:17:0E
2016-01-13,4.113,443.8,7:12:0N,36:17:0E
2016-01-14,3.998,443.8,7:12:0N,36:17:0E
2016-01-15,3.998,443.8,7:12:0N,36:17:0E
